user,content,like,time
凡间之水,"鸡煲于下，抬起了观者，证明了鸡煲是支撑所有的基础。
鸡煲的形状与小黑一样，证明了鸡煲就是尖塔的底层逻辑。
鸡煲会庇佑所有信仰祂的人，煲门[保佑]",83,2024-10-02 11:12:16
柠檬茶独角兽,鸡煲可爱捏,24,2024-10-12 05:54:52
太6阳,给我请假好好陪条人几天[生气_金箍]不然全都和鸡煲一个游戏时间,26,2024-10-07 19:17:35
我是伊凡的猫,不 鸡煲[大哭],12,2024-10-12 09:04:00
Morningstar_12,怎么好像每次都是鸡煲走错路线啊[笑哭],11,2024-10-13 16:17:03
123俊俊32,107第一局鸡煲 开头说已经哄好了[惊喜],29,2024-10-08 13:55:08
霜雪清枫,昨晚机器人点播开局挖掘机，鸡煲成功打至72×15并极限反杀（并不）,3,2024-10-21 12:54:00
酱油ao,才发现16号鸡煲和猎宝时长一样，那么是谁时长最长呢（疑,3,2024-10-17 03:47:40
不笑猫的硬币,又是鸡煲，意料之外，情理之中[tv_大哭],3,2024-10-13 01:33:11
PromitTony,鸡煲被xggg谋杀多少次了哈哈哈哈,2,2024-10-12 16:59:01
对苯二乙缺,1016的连胜鸡煲为什么叫回响机而不是ai机，明明你卡组里都没有回响，都是ai印的，ai陪了一整局终究还是错付了[UP_14064034_寄啦],0,2024-10-17 02:36:56
